,audi,bmw,cadillac,engine,honda,lexus,miles,performance,price,sport,,Column1,price,miles,engine,performance,sport
audi, ,2.160940171,4.064358974,1.698276623,2.437726244,3.366035266,1.904851638,2.177541998,1.875218459,2.061188811,,audi,1.875218459,1.904851638,1.698276623,2.177541998,2.061188811
bmw, , ,2.136879433,1.75869191,1.33247549,2.373473473,1.492809263,1.929238506,1.72168325,1.799032882,,bmw,1.72168325,1.492809263,1.75869191,1.929238506,1.799032882
cadillac, , , ,1.397934596,2.889705882,5.507507508,0.766361974,2.089224138,2.313681592,1.672340426,,cadillac,2.313681592,0.766361974,1.397934596,2.089224138,1.672340426
engine, , , , ,1.597379012,1.591178097,2.072953082,2.489439284,1.436691328,1.926772023,,honda,1.717410192,1.73804979,1.597379012,1.805028207,1.357286096
honda, , , , , ,3.262851086,1.73804979,1.805028207,1.717410192,1.357286096,,lexus,2.207700238,1.21685854,1.591178097,1.912705809,1.931203931
lexus, , , , , , ,1.21685854,1.912705809,2.207700238,1.931203931,,,,,,,
miles, , , , , , , ,1.285700214,1.46999236,1.567558584,,,,,,,
performance, , , , , , , , ,1.91449005,2.284286834,,,,,,,
price, , , , , , , , , ,1.955223881,,,,,,,
sport, , , , , , , , , , ,,,,,,,